"tag" "description"
"PT" "Publication Type (J=Journal; B=Book; S=Series; P=Patent)"
"AU" "Author(s) (in English)"
"BA" "Book Author(s)"
"BE" "Editor(s)"
"GP" "Book Group Author(s)"
"CA" "Group Author(s)"
"TI" "Title"
"SO" "Full Source Title (includes title and subtitle)"
"SE" "Book Series Title"
"BS" "Book Series Subtitle"
"LA" "Language"
"DT" "Document Type"
"CT" "Conference Title"
"CY" "Conference Date"
"CL" "Conference Location"
"SP" "Conference Sponsor"
"DE" "Author Keywords"
"AB" "Abstract"
"C1" "Author Addresses"
"EM" "E-mail Address"
"RI" "ResearcherID Number"
"OI" "ORCID Identifier (Open Researcher and Contributor ID)"
"FU" "Funding Information"
"FX" "Funding Text"
"CR" "Cited References"
"NR" "Cited Reference Count"
"TC" "Times Cites in Web of Science Core Collection"
"Z9" "Total Times Cited Count (Web of Science Core Collection, BIOSIS Citation Index, Chinese Science Citation Database, Data Citation Index, Russian Science Citation Index, SciELO Citation Index)"
"U1" "Usage Count (Last 180 Days)"
"U2" "Usage Count (Since 2013)"
"SN" "International Standard Serial Number (ISSN)"
"EI" "Electronic International Standard Serial Number (eISSN)"
"BN" "International Standard Book Number (ISBN)"
"PD" "Publication Date"
"PY" "Publication Year"
"VL" "Volume"
"IS" "Issue"
"PN" "Part / Patent Number"
"SU" "Supplement"
"SI" "Special Issue"
"MA" "Meeting Abstract Number"
"BP" "Beginning Page"
"EP" "Ending Page"
"AR" "Article Number"
"DI" "Digital Object Identifier (DOI)"
"D2" "Book Digital Object Identifier (DOI)"
"WC" "Web of Science Categories"
"UT" "Accession Number / ISI Unique Article Identifier"
"OA" "Open Access Indicator."
"HC" "ESI Highly Cited Paper. Note that this field is valued only for ESI subscribers."
"HP" "ESI Hot Paper. Note that this field is valued only for ESI subscribers."
"DA" "Date this report was generated."
