Title	Authors	Corporate Authors	Editors	Book Editors	Source Title	Publication Date	Publication Year	Volume	Issue	Part Number	Supplement	Special Issue	Beginning Page	Ending Page	Article Number	DOI	Total Citations	Average per Year
SOAPdenovo2: an empirically improved memory-efficient short-read de novo assembler	"Luo, Ruibang; Liu, Binghang; Xie, Yinlong; Li, Zhenyu; Huang, Weihua; Yuan, Jianying; He, Guangzhu; Chen, Yanxiang; Pan, Qi; Liu, Yunjie; Tang, Jingbo; Wu, Gengxiong; Zhang, Hao; Shi, Yujian; Liu, Yong; Yu, Chang; Wang, Bo; Lu, Yao; Han, Changlei; Cheung, David W.; Yiu, Siu-Ming; Peng, Shaoliang; Zhu Xiaoqian; Liu, Guangming; Liao, Xiangke; Li, Yingrui; Yang, Huanming; Wang, Jian; Lam, Tak-Wah; Wang, Jun"				GIGASCIENCE	DEC 27 2012	2012	1							18	10.1186/2047-217X-1-18	842	140.33
Second-generation PLINK: rising to the challenge of larger and richer datasets	"Chang, Christopher C.; Chow, Carson C.; Tellier, Laurent C. A. M.; Vattikuti, Shashaank; Purcell, Shaun M.; Lee, James J."				GIGASCIENCE	FEB 25 2015	2015	4							7	10.1186/s13742-015-0047-8	307	102.33
Assemblathon 2: evaluating de novo methods of genome assembly in three vertebrate species	"Bradnam, Keith R.; Fass, Joseph N.; Alexandrov, Anton; Baranay, Paul; Bechner, Michael; Birol, Inanc; Boisvert, Sebastien; Chapman, Jarrod A.; Chapuis, Guillaume; Chikhi, Rayan; Chitsaz, Hamidreza; Chou, Wen-Chi; Corbeil, Jacques; Del Fabbro, Cristian; Docking, T. Roderick; Durbin, Richard; Earl, Dent; Emrich, Scott; Fedotov, Pavel; Fonseca, Nuno A.; Ganapathy, Ganeshkumar; Gibbs, Richard A.; Gnerre, Sante; Godzaridis, Elenie; Goldstein, Steve; Haimel, Matthias; Hall, Giles; Haussler, David; Hiatt, Joseph B.; Ho, Isaac Y.; Howard, Jason; Hunt, Martin; Jackman, Shaun D.; Jaffe, David B.; Jarvis, Erich D.; Jiang, Huaiyang; Kazakov, Sergey; Kersey, Paul J.; Kitzman, Jacob O.; Knight, James R.; Koren, Sergey; Lam, Tak-Wah; Lavenier, Dominique; Laviolette, Francois; Li, Yingrui; Li, Zhenyu; Liu, Binghang; Liu, Yue; Luo, Ruibang; MacCallum, Iain; MacManes, Matthew D.; Maillet, Nicolas; Melnikov, Sergey; Naquin, Delphine; Ning, Zemin; Otto, Thomas D.; Paten, Benedict; Paulo, Octavio S.; Phillippy, Adam M.; Pina-Martins, Francisco; Place, Michael; Przybylski, Dariusz; Qin, Xiang; Qu, Carson; Ribeiro, Filipe J.; Richards, Stephen; Rokhsar, Daniel S.; Ruby, J. Graham; Scalabrin, Simone; Schatz, Michael C.; Schwartz, David C.; Sergushichev, Alexey; Sharpe, Ted; Shaw, Timothy I.; Shendure, Jay; Shi, Yujian; Simpson, Jared T.; Song, Henry; Tsarev, Fedor; Vezzi, Francesco; Vicedomini, Riccardo; Vieira, Bruno M.; Wang, Jun; Worley, Kim C.; Yin, Shuangye; Yiu, Siu-Ming; Yuan, Jianying; Zhang, Guojie; Zhang, Hao; Zhou, Shiguo; Korf, Ian F."				GIGASCIENCE	JUL 22 2013	2013	2							10	10.1186/2047-217X-2-10	193	38.6
EMPeror: a tool for visualizing high-throughput microbial community data	"Vazquez-Baeza, Yoshiki; Pirrung, Meg; Gonzalez, Antonio; Knight, Rob"				GIGASCIENCE	2013	2013	2							16	10.1186/2047-217X-2-16	154	30.8
The Biological Observation Matrix (BIOM) format or: how I learned to stop worrying and love the ome-ome	"McDonald, Daniel; Clemente, Jose C.; Kuczynski, Justin; Rideout, Jai Ram; Stombaugh, Jesse; Wendel, Doug; Wilke, Andreas; Huse, Susan; Hufnagle, John; Meyer, Folker; Knight, Rob; Caporaso, J. Gregory"				GIGASCIENCE	2012	2012	1							7	10.1186/2047-217X-1-7	98	16.33
"Data access for the 1,000 Plants (1KP) project"	"Matasci, Naim; Hung, Ling-Hong; Yan, Zhixiang; Carpenter, Eric J.; Wickett, Norman J.; Mirarab, Siavash; Nam Nguyen; Warnow, Tandy; Ayyampalayam, Saravanaraj; Barker, Michael; Burleigh, J. Gordon; Gitzendanner, Matthew A.; Wafula, Eric; Der, Joshua P.; dePamphilis, Claude W.; Roure, Beatrice; Philippe, Herve; Ruhfel, Brad R.; Miles, Nicholas W.; Graham, Sean W.; Mathews, Sarah; Surek, Barbara; Melkonian, Michael; Soltis, Douglas E.; Soltis, Pamela S.; Rothfels, Carl; Pokorny, Lisa; Shaw, Jonathan A.; DeGironimo, Lisa; Stevenson, Dennis W.; Villarreal, Juan Carlos; Chen, Tao; Kutchan, Toni M.; Rolf, Megan; Baucom, Regina S.; Deyholos, Michael K.; Samudrala, Ram; Tian, Zhijian; Wu, Xiaolei; Sun, Xiao; Zhang, Yong; Wang, Jun; Leebens-Mack, Jim; Wong, Gane Ka-Shu"				GIGASCIENCE	OCT 27 2014	2014	3							17	10.1186/2047-217X-3-17	97	24.25
A reference bacterial genome dataset generated on the MinION (TM) portable single-molecule nanopore sequencer	"Quick, Joshua; Quinlan, Aaron R.; Loman, Nicholas J."				GIGASCIENCE	OCT 20 2014	2014	3							22	10.1186/2047-217X-3-22	85	21.25
Ultra-deep sequencing enables high-fidelity recovery of biodiversity for bulk arthropod samples without PCR amplification	"Zhou, Xin; Li, Yiyuan; Liu, Shanlin; Yang, Qing; Su, Xu; Zhou, Lili; Tang, Min; Fu, Ribei; Li, Jiguang; Huang, Quanfei"				GIGASCIENCE	MAR 27 2013	2013	2							4	10.1186/2047-217X-2-4	84	16.8
"The 3,000 rice genomes project: new opportunities and challenges for future rice research"	"Li, Jia-Yang; Wang, Jun; Zeigler, Robert S."				GIGASCIENCE	MAY 28 2014	2014	3							8	10.1186/2047-217X-3-8	49	12.25
Bacterial and viral identification and differentiation by amplicon sequencing on the MinION nanopore sequencer	"Kilianski, Andy; Haas, Jamie L.; Corriveau, Elizabeth J.; Liem, Alvin T.; Willis, Kristen L.; Kadavy, Dana R.; Rosenzweig, C. Nicole; Minot, Samuel S."				GIGASCIENCE	MAR 26 2015	2015	4							12	10.1186/s13742-015-0051-z	44	14.67
